adm2,group,phase,group_name,total_eligible
1013,6,1c,Ppl w. moderate comorbid cond.,6239
1013,7,1c,All older adults,3806
1013,8,U,Ppl in homeless shelters,28
1013,9,U,Incarcerated,227
1013,10,U,Young adults,2809
1013,11,U,Children,4566
1013,12,U,Critical risk workers-2,1140
1015,0,1a,High risk workers,5520
1015,1,1a,Older adults,1239
1015,2,1b,Critical risk workers-1,3340
1015,3,1b,Teachers,2730
1015,4,1b,First responders,1601
1015,5,1c,Ppl w. significant comorbid cond.,15047
1015,6,1c,Ppl w. moderate comorbid cond.,33491
1015,7,1c,All older adults,19386
1015,8,U,Ppl in homeless shelters,359
1015,9,U,Incarcerated,1331
1015,10,U,Young adults,18784
1015,11,U,Children,25196
1015,12,U,Critical risk workers-2,9506
1017,0,1a,High risk workers,857
1017,1,1a,Older adults,723
1017,2,1b,Critical risk workers-1,1182
1017,3,1b,Teachers,913
1017,4,1b,First responders,192
1017,5,1c,Ppl w. significant comorbid cond.,4671
1017,6,1c,Ppl w. moderate comorbid cond.,10396
1017,7,1c,All older adults,6409
1017,8,U,Ppl in homeless shelters,127
1017,9,U,Incarcerated,349
1017,10,U,Young adults,5085
1017,11,U,Children,7006
1017,12,U,Critical risk workers-2,2235
1019,0,1a,High risk workers,775
1019,1,1a,Older adults,678
1019,2,1b,Critical risk workers-1,510
1019,3,1b,Teachers,695
1019,4,1b,First responders,334
1019,5,1c,Ppl w. significant comorbid cond.,3590
1019,6,1c,Ppl w. moderate comorbid cond.,7991
1019,7,1c,All older adults,5621
1019,8,U,Ppl in homeless shelters,36
1019,9,U,Incarcerated,234
1019,10,U,Young adults,3331
1019,11,U,Children,5286
1019,12,U,Critical risk workers-2,1060
1021,0,1a,High risk workers,1296
1021,1,1a,Older adults,336
1021,2,1b,Critical risk workers-1,1229
1021,3,1b,Teachers,1045
1021,4,1b,First responders,566
1021,5,1c,Ppl w. significant comorbid cond.,5833
1021,6,1c,Ppl w. moderate comorbid cond.,12984
1021,7,1c,All older adults,6927
1021,8,U,Ppl in homeless shelters,55
1021,9,U,Incarcerated,343
1021,10,U,Young adults,6445
1021,11,U,Children,10647
1021,12,U,Critical risk workers-2,1960
1023,0,1a,High risk workers,369
1023,1,1a,Older adults,91
1023,2,1b,Critical risk workers-1,504
1023,3,1b,Teachers,341
1023,4,1b,First responders,163
1023,5,1c,Ppl w. significant comorbid cond.,1863
1023,6,1c,Ppl w. moderate comorbid cond.,4147
1023,7,1c,All older adults,2884
1023,9,U,Incarcerated,83
1023,10,U,Young adults,1678
1023,11,U,Children,2650
1023,12,U,Critical risk workers-2,400
1025,0,1a,High risk workers,990
1025,1,1a,Older adults,271
1025,2,1b,Critical risk workers-1,799
1025,3,1b,Teachers,635
1025,4,1b,First responders,330
1025,5,1c,Ppl w. significant comorbid cond.,3406
1025,6,1c,Ppl w. moderate comorbid cond.,7581
1025,7,1c,All older adults,4626
1025,8,U,Ppl in homeless shelters,52
1025,9,U,Incarcerated,337
1025,10,U,Young adults,3490
1025,11,U,Children,5389
1025,12,U,Critical risk workers-2,1183
1027,0,1a,High risk workers,484
1027,1,1a,Older adults,419
1027,2,1b,Critical risk workers-1,370
1027,3,1b,Teachers,359
1027,4,1b,First responders,174
1027,5,1c,Ppl w. significant comorbid cond.,1739
1027,6,1c,Ppl w. moderate comorbid cond.,3872
1027,7,1c,All older adults,2652
1027,9,U,Incarcerated,173
1027,10,U,Young adults,1889
1027,11,U,Children,2819
1027,12,U,Critical risk workers-2,348
1029,0,1a,High risk workers,186
1029,1,1a,Older adults,328
1029,2,1b,Critical risk workers-1,356
1029,3,1b,Teachers,317
1029,4,1b,First responders,199
1029,5,1c,Ppl w. significant comorbid cond.,1851
1029,6,1c,Ppl w. moderate comorbid cond.,4120
1029,7,1c,All older adults,2803
1029,8,U,Ppl in homeless shelters,10
1029,9,U,Incarcerated,124
1029,10,U,Young adults,1908
1029,11,U,Children,3438
1029,12,U,Critical risk workers-2,351
1031,0,1a,High risk workers,2003
1031,1,1a,Older adults,743
1031,2,1b,Critical risk workers-1,3018
1031,3,1b,Teachers,1378
1031,4,1b,First responders,686
1031,5,1c,Ppl w. significant comorbid cond.,6337
1031,6,1c,Ppl w. moderate comorbid cond.,14105
1031,7,1c,All older adults,8375
1031,8,U,Ppl in homeless shelters,85
1031,9,U,Incarcerated,413
1031,10,U,Young adults,7482
1031,11,U,Children,12161
1031,12,U,Critical risk workers-2,3221
1033,0,1a,High risk workers,2424
1033,1,1a,Older adults,589
1033,2,1b,Critical risk workers-1,1886
1033,3,1b,Teachers,1473
1033,4,1b,First responders,762
1033,5,1c,Ppl w. significant comorbid cond.,7286
1033,6,1c,Ppl w. moderate comorbid cond.,16216
1033,7,1c,All older adults,10502
1033,8,U,Ppl in homeless shelters,111
1033,9,U,Incarcerated,364
1033,10,U,Young adults,7765
1033,11,U,Children,11608
1033,12,U,Critical risk workers-2,6250
1035,0,1a,High risk workers,372
1035,1,1a,Older adults,363
1035,2,1b,Critical risk workers-1,423
1035,3,1b,Teachers,257
1035,4,1b,First responders,182
1035,5,1c,Ppl w. significant comorbid cond.,1827
1035,6,1c,Ppl w. moderate comorbid cond.,4066
1035,7,1c,All older adults,2707
1035,9,U,Incarcerated,81
1035,10,U,Young adults,1706
1035,11,U,Children,2651
1035,12,U,Critical risk workers-2,513
1037,0,1a,High risk workers,282
1037,1,1a,Older adults,545
1037,2,1b,Critical risk workers-1,174
1037,3,1b,Teachers,123
1037,4,1b,First responders,138
1037,5,1c,Ppl w. significant comorbid cond.,1607
1037,6,1c,Ppl w. moderate comorbid cond.,3576
1037,7,1c,All older adults,2368
1037,9,U,Incarcerated,123
1037,10,U,Young adults,1362
1037,11,U,Children,1850
1037,12,U,Critical risk workers-2,274
1039,0,1a,High risk workers,1457
1039,1,1a,Older adults,602
1039,2,1b,Critical risk workers-1,1410
1039,3,1b,Teachers,950
1039,4,1b,First responders,553
1039,5,1c,Ppl w. significant comorbid cond.,4714
1039,6,1c,Ppl w. moderate comorbid cond.,10493
1039,7,1c,All older adults,7650
1039,8,U,Ppl in homeless shelters,100
1039,9,U,Incarcerated,598
1039,10,U,Young adults,4954
1039,11,U,Children,8190
1039,12,U,Critical risk workers-2,2469
1041,0,1a,High risk workers,337
1041,1,1a,Older adults,447
1041,2,1b,Critical risk workers-1,404
1041,3,1b,Teachers,362
1041,4,1b,First responders,169
1041,5,1c,Ppl w. significant comorbid cond.,1771
1041,6,1c,Ppl w. moderate comorbid cond.,3943
1041,7,1c,All older adults,2542
1041,9,U,Incarcerated,96
1041,10,U,Young adults,1973
1041,11,U,Children,3116
1041,12,U,Critical risk workers-2,1374
1043,0,1a,High risk workers,3366
1043,1,1a,Older adults,1451
1043,2,1b,Critical risk workers-1,3266
1043,3,1b,Teachers,2171
1043,4,1b,First responders,1080
1043,5,1c,Ppl w. significant comorbid cond.,9677
1043,6,1c,Ppl w. moderate comorbid cond.,21540
1043,7,1c,All older adults,14803
1043,8,U,Ppl in homeless shelters,71
1043,9,U,Incarcerated,662
1043,10,U,Young adults,11918
1043,11,U,Children,18572
1043,12,U,Critical risk workers-2,6060
1045,0,1a,High risk workers,1436
1045,1,1a,Older adults,487
1045,2,1b,Critical risk workers-1,2232
1045,3,1b,Teachers,1458
1045,4,1b,First responders,631
1045,5,1c,Ppl w. significant comorbid cond.,6328
1045,6,1c,Ppl w. moderate comorbid cond.,14084
1045,7,1c,All older adults,7939
1045,8,U,Ppl in homeless shelters,76
1045,9,U,Incarcerated,246
1045,10,U,Young adults,8038
1045,11,U,Children,11506
1045,12,U,Critical risk workers-2,2080
1047,0,1a,High risk workers,1844
1047,1,1a,Older adults,495
1047,2,1b,Critical risk workers-1,1054
1047,3,1b,Teachers,950
1047,4,1b,First responders,558
1047,5,1c,Ppl w. significant comorbid cond.,5554
1047,6,1c,Ppl w. moderate comorbid cond.,12362
1047,7,1c,All older adults,6705
1047,8,U,Ppl in homeless shelters,182
1047,9,U,Incarcerated,451
1047,10,U,Young adults,6060
1047,11,U,Children,9780
1047,12,U,Critical risk workers-2,1845
1049,0,1a,High risk workers,2806
1049,1,1a,Older adults,956
1049,2,1b,Critical risk workers-1,2541
1049,3,1b,Teachers,1853
1049,4,1b,First responders,946
1049,5,1c,Ppl w. significant comorbid cond.,8764
1049,6,1c,Ppl w. moderate comorbid cond.,19506
1049,7,1c,All older adults,11619
1049,8,U,Ppl in homeless shelters,219
1049,9,U,Incarcerated,409
1049,10,U,Young adults,10279
1049,11,U,Children,17480
1049,12,U,Critical risk workers-2,3468
1051,0,1a,High risk workers,2457
1051,1,1a,Older adults,939
1051,2,1b,Critical risk workers-1,1823
1051,3,1b,Teachers,2357
1051,4,1b,First responders,1071
1051,5,1c,Ppl w. significant comorbid cond.,10225
1051,6,1c,Ppl w. moderate comorbid cond.,22759
1051,7,1c,All older adults,11770
1051,8,U,Ppl in homeless shelters,216
1051,9,U,Incarcerated,1294
1051,10,U,Young adults,12924
1051,11,U,Children,18239
1051,12,U,Critical risk workers-2,4688
1053,0,1a,High risk workers,1240
1053,1,1a,Older adults,324
1053,2,1b,Critical risk workers-1,1056
1053,3,1b,Teachers,888
1053,4,1b,First responders,264
1053,5,1c,Ppl w. significant comorbid cond.,4871
1053,6,1c,Ppl w. moderate comorbid cond.,10842
1053,7,1c,All older adults,6476
1053,8,U,Ppl in homeless shelters,29
1053,9,U,Incarcerated,527
1053,10,U,Young adults,5568
1053,11,U,Children,8328
1053,12,U,Critical risk workers-2,2307
1055,0,1a,High risk workers,6570
1055,1,1a,Older adults,1423
1055,2,1b,Critical risk workers-1,4177
1055,3,1b,Teachers,2458
1055,4,1b,First responders,1592
1055,5,1c,Ppl w. significant comorbid cond.,13655
1055,6,1c,Ppl w. moderate comorbid cond.,30394
1055,7,1c,All older adults,18877
1055,8,U,Ppl in homeless shelters,361
1055,9,U,Incarcerated,1405
1055,10,U,Young adults,14949
1055,11,U,Children,22281
1055,12,U,Critical risk workers-2,6101
1057,0,1a,High risk workers,428
1057,1,1a,Older adults,369
1057,2,1b,Critical risk workers-1,380
1057,3,1b,Teachers,434
1057,4,1b,First responders,241
1057,5,1c,Ppl w. significant comorbid cond.,2032
1057,6,1c,Ppl w. moderate comorbid cond.,4523
1057,7,1c,All older adults,3392
1057,8,U,Ppl in homeless shelters,66
1057,9,U,Incarcerated,132
1057,10,U,Young adults,2247
1057,11,U,Children,3562
1057,12,U,Critical risk workers-2,650
1059,0,1a,High risk workers,1224
1059,1,1a,Older adults,589
1059,2,1b,Critical risk workers-1,955
1059,3,1b,Teachers,811
1059,4,1b,First responders,397
1059,5,1c,Ppl w. significant comorbid cond.,3829
1059,6,1c,Ppl w. moderate comorbid cond.,8523
1059,7,1c,All older adults,5100
1059,8,U,Ppl in homeless shelters,34
1059,9,U,Incarcerated,192
1059,10,U,Young adults,4823
1059,11,U,Children,7806
1059,12,U,Critical risk workers-2,1627
1061,0,1a,High risk workers,475
1061,1,1a,Older adults,689
1061,2,1b,Critical risk workers-1,784
1061,3,1b,Teachers,531
1061,4,1b,First responders,339
1061,5,1c,Ppl w. significant comorbid cond.,3616
1061,6,1c,Ppl w. moderate comorbid cond.,8048
1061,7,1c,All older adults,5152
1061,8,U,Ppl in homeless shelters,4
1061,9,U,Incarcerated,177
1061,10,U,Young adults,3477
1061,11,U,Children,5856
1061,12,U,Critical risk workers-2,935
1063,0,1a,High risk workers,124
1063,1,1a,Older adults,90
1063,2,1b,Critical risk workers-1,292
1063,3,1b,Teachers,211
1063,4,1b,First responders,132
1063,5,1c,Ppl w. significant comorbid cond.,1279
1063,6,1c,Ppl w. moderate comorbid cond.,2846
1063,7,1c,All older adults,1716
1063,9,U,Incarcerated,45
1063,10,U,Young adults,1239
1063,11,U,Children,1862
1063,12,U,Critical risk workers-2,247
1065,0,1a,High risk workers,315
1065,1,1a,Older adults,326
1065,2,1b,Critical risk workers-1,360
1065,3,1b,Teachers,380
1065,4,1b,First responders,188
1065,5,1c,Ppl w. significant comorbid cond.,2060
1065,6,1c,Ppl w. moderate comorbid cond.,4584
1065,7,1c,All older adults,2717
1065,9,U,Incarcerated,70
1065,10,U,Young adults,2218
1065,11,U,Children,3481
1065,12,U,Critical risk workers-2,530
1067,0,1a,High risk workers,464
1067,1,1a,Older adults,296
1067,2,1b,Critical risk workers-1,553
1067,3,1b,Teachers,328
1067,4,1b,First responders,69
1067,5,1c,Ppl w. significant comorbid cond.,2213
1067,6,1c,Ppl w. moderate comorbid cond.,4926
1067,7,1c,All older adults,3696
1067,8,U,Ppl in homeless shelters,3
1067,9,U,Incarcerated,147
1067,10,U,Young adults,2194
1067,11,U,Children,3587
1067,12,U,Critical risk workers-2,483
1069,0,1a,High risk workers,6806
1069,1,1a,Older adults,813
1069,2,1b,Critical risk workers-1,5761
1069,3,1b,Teachers,2810
1069,4,1b,First responders,1517
1069,5,1c,Ppl w. significant comorbid cond.,12981
1069,6,1c,Ppl w. moderate comorbid cond.,28894
1069,7,1c,All older adults,17615
1069,8,U,Ppl in homeless shelters,361
1069,9,U,Incarcerated,1367
1069,10,U,Young adults,15141
1069,11,U,Children,24386
1069,12,U,Critical risk workers-2,9160
1071,0,1a,High risk workers,1204
1071,1,1a,Older adults,514
1071,2,1b,Critical risk workers-1,985
1071,3,1b,Teachers,1316
1071,4,1b,First responders,726
1071,5,1c,Ppl w. significant comorbid cond.,6675
1071,6,1c,Ppl w. moderate comorbid cond.,14858
1071,7,1c,All older adults,9972
1071,8,U,Ppl in homeless shelters,185
1071,9,U,Incarcerated,352
1071,10,U,Young adults,6780
1071,11,U,Children,11159
1071,12,U,Critical risk workers-2,2510
1073,0,1a,High risk workers,61150
1073,1,1a,Older adults,6035
1073,2,1b,Critical risk workers-1,30217
1073,3,1b,Teachers,15049
1073,4,1b,First responders,4316
1073,5,1c,Ppl w. significant comorbid cond.,72876
1073,6,1c,Ppl w. moderate comorbid cond.,162208
1073,7,1c,All older adults,99146
1073,8,U,Ppl in homeless shelters,2932
1073,9,U,Incarcerated,5587
1073,10,U,Young adults,108666
1073,11,U,Children,151658
1073,12,U,Critical risk workers-2,70168
1075,0,1a,High risk workers,239
1075,1,1a,Older adults,368
1075,2,1b,Critical risk workers-1,422
1075,3,1b,Teachers,269
1075,4,1b,First responders,181
1075,5,1c,Ppl w. significant comorbid cond.,1849
1075,6,1c,Ppl w. moderate comorbid cond.,4116
1075,7,1c,All older adults,2938
1075,8,U,Ppl in homeless shelters,36
1075,9,U,Incarcerated,117
1075,10,U,Young adults,1677
1075,11,U,Children,3065
1075,12,U,Critical risk workers-2,495
1077,0,1a,High risk workers,3998
1077,1,1a,Older adults,867
1077,2,1b,Critical risk workers-1,2056
1077,3,1b,Teachers,2244
1077,4,1b,First responders,1288
1077,5,1c,Ppl w. significant comorbid cond.,10809
1077,6,1c,Ppl w. moderate comorbid cond.,24060
1077,7,1c,All older adults,17876
1077,8,U,Ppl in homeless shelters,169
1077,9,U,Incarcerated,622
1077,10,U,Young adults,16344
1077,11,U,Children,18522
1077,12,U,Critical risk workers-2,7273
1079,0,1a,High risk workers,903
1079,1,1a,Older adults,230
1079,2,1b,Critical risk workers-1,466
1079,3,1b,Teachers,839
1079,4,1b,First responders,378
1079,5,1c,Ppl w. significant comorbid cond.,3757
1079,6,1c,Ppl w. moderate comorbid cond.,8362
1079,7,1c,All older adults,5787
1079,8,U,Ppl in homeless shelters,53
1079,9,U,Incarcerated,304
1079,10,U,Young adults,4601
1079,11,U,Children,7232
1079,12,U,Critical risk workers-2,1570
1081,0,1a,High risk workers,3771
1081,1,1a,Older adults,1216
1081,2,1b,Critical risk workers-1,6118
1081,3,1b,Teachers,3916
1081,4,1b,First responders,627
1081,5,1c,Ppl w. significant comorbid cond.,16648
1081,6,1c,Ppl w. moderate comorbid cond.,37055
1081,7,1c,All older adults,17739
1081,8,U,Ppl in homeless shelters,492
1081,9,U,Incarcerated,1070
1081,10,U,Young adults,42465
1081,11,U,Children,34202
1081,12,U,Critical risk workers-2,13299
1083,0,1a,High risk workers,2856
1083,1,1a,Older adults,706
1083,2,1b,Critical risk workers-1,1943
1083,3,1b,Teachers,2426
1083,4,1b,First responders,1177
1083,5,1c,Ppl w. significant comorbid cond.,10983
1083,6,1c,Ppl w. moderate comorbid cond.,24446
1083,7,1c,All older adults,13723
1083,8,U,Ppl in homeless shelters,10
1083,9,U,Incarcerated,550
1083,10,U,Young adults,13059
1083,11,U,Children,21412
1083,12,U,Critical risk workers-2,5931
1085,0,1a,High risk workers,138
1085,1,1a,Older adults,270
1085,2,1b,Critical risk workers-1,351
1085,3,1b,Teachers,253
1085,4,1b,First responders,149
1085,5,1c,Ppl w. significant comorbid cond.,1524
1085,6,1c,Ppl w. moderate comorbid cond.,3393
1085,7,1c,All older adults,1828
1085,9,U,Incarcerated,105
1085,10,U,Young adults,1519
1085,11,U,Children,2330
1085,12,U,Critical risk workers-2,321
1087,0,1a,High risk workers,1166
1087,1,1a,Older adults,383
1087,2,1b,Critical risk workers-1,398
1087,3,1b,Teachers,472
1087,4,1b,First responders,276
1087,5,1c,Ppl w. significant comorbid cond.,2829
1087,6,1c,Ppl w. moderate comorbid cond.,6298
1087,7,1c,All older adults,3542
1087,8,U,Ppl in homeless shelters,22
1087,9,U,Incarcerated,161
1087,10,U,Young adults,4633
1087,11,U,Children,3411
1087,12,U,Critical risk workers-2,774
1089,0,1a,High risk workers,16232
1089,1,1a,Older adults,2554
1089,2,1b,Critical risk workers-1,11372
1089,3,1b,Teachers,10179
1089,4,1b,First responders,4938
1089,5,1c,Ppl w. significant comorbid cond.,38778
1089,6,1c,Ppl w. moderate comorbid cond.,86312
1089,7,1c,All older adults,51308
1089,8,U,Ppl in homeless shelters,1027
1089,9,U,Incarcerated,2468
1089,10,U,Young adults,60032
1089,11,U,Children,79195
1089,12,U,Critical risk workers-2,37323
1091,0,1a,High risk workers,638
1091,1,1a,Older adults,313
1091,2,1b,Critical risk workers-1,663
1091,3,1b,Teachers,640
1091,4,1b,First responders,253
1091,5,1c,Ppl w. significant comorbid cond.,2696
1091,6,1c,Ppl w. moderate comorbid cond.,6001
1091,7,1c,All older adults,3690
1091,8,U,Ppl in homeless shelters,14
1091,9,U,Incarcerated,136
1091,10,U,Young adults,2852
1091,11,U,Children,4468
1091,12,U,Critical risk workers-2,1050
1093,0,1a,High risk workers,1232
1093,1,1a,Older adults,471
1093,2,1b,Critical risk workers-1,673
1093,3,1b,Teachers,751
1093,4,1b,First responders,379
1093,5,1c,Ppl w. significant comorbid cond.,3853
1093,6,1c,Ppl w. moderate comorbid cond.,8576
1093,7,1c,All older adults,6219
1093,8,U,Ppl in homeless shelters,82
1093,9,U,Incarcerated,341
1093,10,U,Young adults,4033
1093,11,U,Children,6316
1093,12,U,Critical risk workers-2,1248
1095,0,1a,High risk workers,2890
1095,1,1a,Older adults,1224
1095,2,1b,Critical risk workers-1,10546
1095,3,1b,Teachers,2328
1095,4,1b,First responders,1264
1095,5,1c,Ppl w. significant comorbid cond.,12070
1095,6,1c,Ppl w. moderate comorbid cond.,26865
1095,7,1c,All older adults,15941
1095,8,U,Ppl in homeless shelters,230
1095,9,U,Incarcerated,582
1095,10,U,Young adults,13879
1095,11,U,Children,23654
1095,12,U,Critical risk workers-2,7278
1097,0,1a,High risk workers,22977
1097,1,1a,Older adults,3569
1097,2,1b,Critical risk workers-1,16634
1097,3,1b,Teachers,9648
1097,4,1b,First responders,6243
1097,5,1c,Ppl w. significant comorbid cond.,48294
1097,6,1c,Ppl w. moderate comorbid cond.,107493
1097,7,1c,All older adults,63650
1097,8,U,Ppl in homeless shelters,1443
1097,9,U,Incarcerated,3627
1097,10,U,Young adults,68851
1097,11,U,Children,98337
1097,12,U,Critical risk workers-2,35663
1099,0,1a,High risk workers,536
1099,1,1a,Older adults,373
1099,2,1b,Critical risk workers-1,948
1099,3,1b,Teachers,583
1099,4,1b,First responders,295
1099,5,1c,Ppl w. significant comorbid cond.,2941
1099,6,1c,Ppl w. moderate comorbid cond.,6547
1099,7,1c,All older adults,4060
1099,8,U,Ppl in homeless shelters,14
1099,9,U,Incarcerated,157
1099,10,U,Young adults,3023
1099,11,U,Children,4920
1099,12,U,Critical risk workers-2,821
1101,0,1a,High risk workers,14829
1101,1,1a,Older adults,1810
1101,2,1b,Critical risk workers-1,11785
1101,3,1b,Teachers,7126
1101,4,1b,First responders,5825
1101,5,1c,Ppl w. significant comorbid cond.,27949
1101,6,1c,Ppl w. moderate comorbid cond.,62209
1101,7,1c,All older adults,32183
1101,8,U,Ppl in homeless shelters,904
1101,9,U,Incarcerated,3509
1101,10,U,Young adults,40620
1101,11,U,Children,53669
1101,12,U,Critical risk workers-2,22823
1103,0,1a,High risk workers,4906
1103,1,1a,Older adults,1313
1103,2,1b,Critical risk workers-1,6963
1103,3,1b,Teachers,3037
1103,4,1b,First responders,1667
1103,5,1c,Ppl w. significant comorbid cond.,14105
1103,6,1c,Ppl w. moderate comorbid cond.,31395
1103,7,1c,All older adults,19865
1103,8,U,Ppl in homeless shelters,306
1103,9,U,Incarcerated,1383
1103,10,U,Young adults,16940
1103,11,U,Children,27384
1103,12,U,Critical risk workers-2,9345
1105,0,1a,High risk workers,299
1105,1,1a,Older adults,437
1105,2,1b,Critical risk workers-1,225
1105,3,1b,Teachers,248
1105,4,1b,First responders,129
1105,5,1c,Ppl w. significant comorbid cond.,1425
1105,6,1c,Ppl w. moderate comorbid cond.,3172
1105,7,1c,All older adults,1764
1105,9,U,Incarcerated,50
1105,10,U,Young adults,1846
1105,11,U,Children,2069
1105,12,U,Critical risk workers-2,293
1107,0,1a,High risk workers,453
1107,1,1a,Older adults,285
1107,2,1b,Critical risk workers-1,543
1107,3,1b,Teachers,530
1107,4,1b,First responders,274
1107,5,1c,Ppl w. significant comorbid cond.,2850
1107,6,1c,Ppl w. moderate comorbid cond.,6344
1107,7,1c,All older adults,3729
1107,8,U,Ppl in homeless shelters,3
1107,9,U,Incarcerated,540
1107,10,U,Young adults,3061
1107,11,U,Children,4002
1107,12,U,Critical risk workers-2,527
1109,0,1a,High risk workers,883
1109,1,1a,Older adults,370
1109,2,1b,Critical risk workers-1,2113
1109,3,1b,Teachers,629
1109,4,1b,First responders,480
1109,5,1c,Ppl w. significant comorbid cond.,4274
1109,6,1c,Ppl w. moderate comorbid cond.,9512
1109,7,1c,All older adults,4886
1109,8,U,Ppl in homeless shelters,52
1109,9,U,Incarcerated,312
1109,10,U,Young adults,9936
1109,11,U,Children,6539
1109,12,U,Critical risk workers-2,2318
1111,0,1a,High risk workers,727
1111,1,1a,Older adults,465
1111,2,1b,Critical risk workers-1,529
1111,3,1b,Teachers,589
1111,4,1b,First responders,315
1111,5,1c,Ppl w. significant comorbid cond.,3022
1111,6,1c,Ppl w. moderate comorbid cond.,6725
1111,7,1c,All older adults,4512
1111,9,U,Incarcerated,205
1111,10,U,Young adults,3114
1111,11,U,Children,4914
1111,12,U,Critical risk workers-2,751
1113,0,1a,High risk workers,1610
1113,1,1a,Older adults,608
1113,2,1b,Critical risk workers-1,1809
1113,3,1b,Teachers,1419
1113,4,1b,First responders,809
1113,5,1c,Ppl w. significant comorbid cond.,6991
1113,6,1c,Ppl w. moderate comorbid cond.,15561
1113,7,1c,All older adults,7776
1113,8,U,Ppl in homeless shelters,83
1113,9,U,Incarcerated,703
1113,10,U,Young adults,9706
1113,11,U,Children,14358
1113,12,U,Critical risk workers-2,3194
1115,0,1a,High risk workers,2513
1115,1,1a,Older adults,855
1115,2,1b,Critical risk workers-1,2160
1115,3,1b,Teachers,1642
1115,4,1b,First responders,1123
1115,5,1c,Ppl w. significant comorbid cond.,11159
1115,6,1c,Ppl w. moderate comorbid cond.,24837
1115,7,1c,All older adults,13891
1115,8,U,Ppl in homeless shelters,21
1115,9,U,Incarcerated,709
1115,10,U,Young adults,12076
1115,11,U,Children,19998
1115,12,U,Critical risk workers-2,5280
1117,0,1a,High risk workers,8629
1117,1,1a,Older adults,1386
1117,2,1b,Critical risk workers-1,6242
1117,3,1b,Teachers,5829
1117,4,1b,First responders,926
1117,5,1c,Ppl w. significant comorbid cond.,21817
1117,6,1c,Ppl w. moderate comorbid cond.,48559
1117,7,1c,All older adults,30125
1117,8,U,Ppl in homeless shelters,425
1117,9,U,Incarcerated,1113
1117,10,U,Young adults,29900
1117,11,U,Children,50611
1117,12,U,Critical risk workers-2,20361
1119,0,1a,High risk workers,335
1119,1,1a,Older adults,189
1119,2,1b,Critical risk workers-1,420
1119,3,1b,Teachers,339
1119,4,1b,First responders,180
1119,5,1c,Ppl w. significant comorbid cond.,1744
1119,6,1c,Ppl w. moderate comorbid cond.,3882
1119,7,1c,All older adults,2198
